,STYLE NAMES,"Axes:
opsz / Optical Size
wght / Weight
GEOM / Geometric Form
YTAS / Ascender Height
SHRP / Sharp","Ranges:
008–048
400–700
000–100
720–800
000–100",,,,,,,,,,,Variable packages (not differently name fonts),
,Cal Sans (Roman),,(v2.000),,,Cal Sans (Italic),,(v2.000),,,Cal Sans Office / Gsuite,,,Cal Sans (Variable),✓ HOI & brace layer injections
,GEOM 0–10 // A11y,GEOM 15–30 // UI,GEOM 40–60 // (Base Just Cal Sans),GEOM 80–100 // Geo,,GEOM 0–10 // A11y,GEOM 15–30 // UI,GEOM 40–60 // (Base Just Cal Sans),GEOM 80–100 // Geo,,,,,,
,"Cal Sans A11y Regular
Cal Sans A11y Text Regular
Cal Sans A11y Micro Regular","Cal Sans UI Regular
Cal Sans UI Text Regular
Cal Sans UI Micro Regular","Cal Sans Regular
Cal Sans Text Regular
Cal Sans Micro Regular","Cal Sans Geo Regular
Cal Sans Geo Text Regular
Cal Sans Geo Micro Regular",,"Cal Sans A11y Italic
Cal Sans A11y Text Italic
Cal Sans A11y Micro Italic","Cal Sans UI Italic
Cal Sans UI Text Italic
Cal Sans UI Micro Italic","Cal Sans Italic
Cal Sans Text Italic
Cal Sans Micro Italic","Cal Sans Geo Italic
Cal Sans Geo Text Italic
Cal Sans Geo Micro Italic",,"Cal Sans Regular
Cal Sans Text Regular
","Cal Sans Italic
Cal Sans Text Italic
",,Cal Sans Workspace,Instanced or two variable versions without OPSZ implementation 
,"Cal Sans A11y Medium
Cal Sans A11y Text Medium
Cal Sans A11y Micro Medium","Cal Sans UI Medium
Cal Sans UI Text Medium
Cal Sans UI Micro Medium","Cal Sans Medium
Cal Sans Text Medium
Cal Sans Micro Medium","Cal Sans Geo Medium
Cal Sans Geo Text Medium
Cal Sans Geo Micro Medium",,"Cal Sans A11y Medium Italic
Cal Sans A11y Text Medium Italic
Cal Sans A11y Micro Medium Italic","Cal Sans UI Medium Italic
Cal Sans UI Text Medium Italic
Cal Sans UI Micro Medium Italic","Cal Sans Medium Italic
Cal Sans Text Medium Italic
Cal Sans Micro Medium Italic","Cal Sans Geo Medium Italic
Cal Sans Geo Text Medium Italic
Cal Sans Geo Micro Medium Italic",,"Cal Sans Medium
Cal Sans Text Medium
","Cal Sans Medium Italic
Cal Sans Text Medium Italic
",,Cal Sans API,Subsetted however Emma Marichal needs
,"Cal Sans A11y SemiBold
Cal Sans A11y Text SemiBold
Cal Sans A11y Micro SemiBold","Cal Sans UI SemiBold
Cal Sans UI Text SemiBold
Cal Sans UI Micro SemiBold","Cal Sans SemiBold
Cal Sans Text SemiBold
Cal Sans Micro SemiBold","Cal Sans Geo SemiBold
Cal Sans Geo Text SemiBold
Cal Sans Geo Micro SemiBold",,"Cal Sans A11y SemiBold Italic
Cal Sans A11y Text SemiBold Italic
Cal Sans A11y Micro SemiBold Italic","Cal Sans UI SemiBold Italic
Cal Sans UI Text SemiBold Italic
Cal Sans UI Micro SemiBold Italic","Cal Sans SemiBold Italic
Cal Sans Text SemiBold Italic
Cal Sans Micro SemiBold Italic","Cal Sans Geo SemiBold Italic
Cal Sans Geo Text SemiBold Italic
Cal Sans Geo Micro SemiBold Italic",,"Cal Sans SemiBold
Cal Sans Text SemiBold
","Cal Sans SemiBold Italic
Cal Sans Text SemiBold Italic
",,Cal Sans CossUI,Subsetted for CalCom use
,"Cal Sans A11y Bold
Cal Sans A11y Text Bold
Cal Sans A11y Micro Bold","Cal Sans UI Bold
Cal Sans UI Text Bold
Cal Sans UI Micro Bold","Cal Sans Bold
Cal Sans Text Bold
Cal Sans Micro Bold","Cal Sans Geo Bold
Cal Sans Geo Text Bold
Cal Sans Geo Micro Bold",,"Cal Sans A11y Bold Italic
Cal Sans A11y Text Bold Italic
Cal Sans A11y Micro Bold Italic","Cal Sans UI Bold Italic
Cal Sans UI Text Bold Italic
Cal Sans UI Micro Bold Italic","Cal Sans Bold Italic
Cal Sans Text Bold Italic
Cal Sans Micro Bold Italic","Cal Sans Geo Bold Italic
Cal Sans Geo Text Bold Italic
Cal Sans Geo Micro Bold Italic",,"Cal Sans Bold
Cal Sans Text Bold
","Cal Sans Bold Italic
Cal Sans Text Bold Italic
",,Cal Sans Magic,Hidden YTAS parametric axis; @ 8opsz YTAS 777
,,,,,,,,,,,,,,,
,YTAS 100 — Tall,YTAS 100 — Tall,YTAS 100 — Tall,YTAS 100 — Tall,,YTAS 100 — Tall,YTAS 100 — Tall,YTAS 100 — Tall,YTAS 100 — Tall,,,,,Static packages (not differently name fonts),
,"Cal Sans A11y Tall Regular
Cal Sans A11y Tall Text Regular
Cal Sans A11y Tall Micro Regular","Cal Sans UI Tall Regular
Cal Sans UI Tall Text Regular
Cal Sans UI Tall Micro Regular","Cal Sans Tall Regular
Cal Sans Tall Text Regular
Cal Sans Tall Micro Regular","Cal Sans Geo Tall Regular
Cal Sans Geo Tall Text Regular
Cal Sans Geo Tall Micro Regular",,"Cal Sans A11y Tall Italic
Cal Sans A11y Tall Text Italic
Cal Sans A11y Tall Micro Italic","Cal Sans UI Tall Italic
Cal Sans UI Tall Text Italic
Cal Sans UI Tall Micro Italic","Cal Sans Tall Italic
Cal Sans Tall Text Italic
Cal Sans Tall Micro Italic","Cal Sans Geo Tall Italic
Cal Sans Geo Tall Text Italic
Cal Sans Geo Tall Micro Italic",,,,,Cal Sans Static Base,
